,date,name,isHoliday,holidayCategory,description
498,2017-02-19,,是,星期六、星期日,
499,2017-02-25,,是,星期六、星期日,
500,2017-02-26,,是,星期六、星期日,
501,2017-02-27,,是,調整放假日,
502,2017-02-28,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整二月二十七日為放假日，並於二月十八日補行上班一日。
503,2017-03-04,,是,星期六、星期日,
504,2017-03-05,,是,星期六、星期日,
505,2017-03-11,,是,星期六、星期日,
506,2017-03-12,,是,星期六、星期日,
507,2017-03-18,,是,星期六、星期日,
508,2017-03-19,,是,星期六、星期日,
509,2017-03-25,,是,星期六、星期日,
510,2017-03-26,,是,星期六、星期日,
511,2017-04-01,,是,星期六、星期日,
512,2017-04-02,,是,星期六、星期日,
513,2017-04-03,,是,放假之紀念日及節日,全國各機關學校放假一日。
514,2017-04-04,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日(兒童節與民族掃墓節同一日時，於前一日即四月三日放假)。
515,2017-04-08,,是,星期六、星期日,
516,2017-04-09,,是,星期六、星期日,
517,2017-04-15,,是,星期六、星期日,
518,2017-04-16,,是,星期六、星期日,
519,2017-04-22,,是,星期六、星期日,
520,2017-04-23,,是,星期六、星期日,
521,2017-04-29,,是,星期六、星期日,
522,2017-04-30,,是,星期六、星期日,
523,2017-05-01,勞動節,是,特定節日,勞工放假一日。
524,2017-05-06,,是,星期六、星期日,
525,2017-05-07,,是,星期六、星期日,
526,2017-05-13,,是,星期六、星期日,
527,2017-05-14,,是,星期六、星期日,
528,2017-05-20,,是,星期六、星期日,
529,2017-05-21,,是,星期六、星期日,
530,2017-05-27,,是,星期六、星期日,
531,2017-05-28,,是,星期六、星期日,
532,2017-05-29,,是,調整放假日,
533,2017-05-30,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整五月二十九日為放假日，並於六月三日補行上班一日。
534,2017-06-03,,否,補行上班日,
535,2017-06-04,,是,星期六、星期日,
536,2017-06-10,,是,星期六、星期日,
537,2017-06-11,,是,星期六、星期日,
538,2017-06-17,,是,星期六、星期日,
539,2017-06-18,,是,星期六、星期日,
540,2017-06-24,,是,星期六、星期日,
541,2017-06-25,,是,星期六、星期日,
542,2017-07-01,,是,星期六、星期日,
543,2017-07-02,,是,星期六、星期日,
544,2017-07-08,,是,星期六、星期日,
545,2017-07-09,,是,星期六、星期日,
546,2017-07-15,,是,星期六、星期日,
547,2017-07-16,,是,星期六、星期日,
548,2017-07-22,,是,星期六、星期日,
549,2017-07-23,,是,星期六、星期日,
550,2017-07-29,,是,星期六、星期日,
551,2017-07-30,,是,星期六、星期日,
552,2017-08-05,,是,星期六、星期日,
553,2017-08-06,,是,星期六、星期日,
554,2017-08-12,,是,星期六、星期日,
555,2017-08-13,,是,星期六、星期日,
